id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,location
240.0,224133,4,1,4,0.00541,0.547,0.797,0.0261,0.128,-9.982,0.0292,0.894,134.489,36
241.0,197627,2,0,4,0.197,0.574,0.626,0.00132,0.112,-10.215,0.0561,0.657,169.926,44
242.0,288453,5,1,1,0.541,0.62,0.623,0.0951,0.18,-7.075,0.0334,0.638,109.637,43
243.0,156000,9,1,4,0.138,0.718,0.767,0,0.114,-5.641,0.166,0.519,160.084,38
244.0,192324,10,0,4,0.0827,0.815,0.828,2.2e-06,0.134,-3.278,0.163,0.882,176.086,27
245.0,310291,0,1,4,0.0341,0.614,0.832,0.418,0.21,-6.064,0.0329,0.678,84.002,19
246.0,238360,1,1,4,0.197,0.808,0.721,0,0.205,-5.165,0.213,0.773,94.955,37
247.0,189143,10,0,4,0.0407,0.753,0.527,0.0149,0.102,-5.411,0.219,0.301,104.997,36
248.0,168973,9,1,4,0.283,0.391,0.878,1.01e-06,0.0797,-3.174,0.0521,0.579,179.749,38
250.0,243280,11,0,4,0.232,0.639,0.815,0,0.299,-4.962,0.252,0.4,159.903,38
251.0,252080,8,1,4,0.77,0.561,0.55,0.476,0.0921,-17.419,0.037,0.446,147.01,28
252.0,375347,2,0,4,0.00334,0.275,0.85,0.181,0.147,-8.246,0.0712,0.347,147.443,27
253.0,204307,2,1,3,0.235,0.519,0.484,5.72e-05,0.122,-6.014,0.0263,0.252,126.843,45
254.0,222874,4,1,4,0.0111,0.549,0.746,0.00101,0.145,-6.797,0.03,0.499,101.019,38
255.0,504333,2,1,4,0.0783,0.368,0.371,1.27e-05,0.11,-13.426,0.0301,0.267,135.448,38
256.0,110922,0,1,3,0.983,0.749,0.16,3.7e-05,0.104,-16.838,0.0374,0.177,110.04,38
257.0,447308,7,1,3,0.000122,0.248,0.79,0.822,0.0514,-8.681,0.0767,0.33,196.224,36
258.0,236693,9,1,4,0.0048,0.505,0.769,0.0322,0.0356,-5.853,0.0374,0.407,119.416,35
259.0,208240,4,1,4,0.131,0.603,0.843,0.000503,0.346,-5.896,0.032,0.644,78.436,43
260.0,91267,7,1,3,0.981,0.669,0.0878,0.775,0.105,-23.661,0.0489,0.407,71.431,38
261.0,248440,2,1,4,0.429,0.671,0.712,0,0.103,-7.815,0.0476,0.462,113.805,36
262.0,225867,0,1,4,0.986,0.381,0.0943,0.915,0.0906,-24.325,0.04,0.0794,127.71,29
263.0,221493,9,1,4,0.292,0.367,0.701,0.0518,0.276,-6.536,0.0362,0.493,117.494,35
264.0,184880,4,1,4,0.49,0.733,0.533,0,0.171,-6.971,0.0357,0.483,104.506,46
265.0,265627,4,1,4,0.812,0.467,0.34,0.000146,0.38,-10.655,0.0342,0.236,149.049,44
266.0,221493,9,1,4,0.292,0.367,0.701,0.0518,0.276,-6.536,0.0362,0.493,117.494,37
267.0,377267,2,1,4,0.253,0.519,0.581,0.000905,0.0613,-6.9,0.0337,0.518,115.851,36
268.0,186760,0,1,4,0.588,0.514,0.511,0,0.0914,-7.738,0.0264,0.474,150.006,38
269.0,131773,2,1,4,1.87e-06,0.315,0.942,0.000195,0.243,-4.706,0.0776,0.513,108.476,54
270.0,251987,7,0,4,0.0862,0.839,0.72,0.00697,0.0772,-4.135,0.0483,0.203,122.993,42
